,,,,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,% Democrats,% Democrats,% Democrats,% Democrats,% Democrats,% Republicans,% Republicans,% Republicans,% Republicans,% Republicans,Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%)
Gloucester,East Greenwich,3,"1, 2","7,231","7,327","7,726","7,863","8,151",70.26,70.59,74.32,74.74,77.02,30.54,30.11,31.71,32.5,-,20.18,19.87,22.07,23.32,-,39.01,22.68,72.77,41.17,57.6
Ocean,Eagleswood,9,2,"1,125","1,155","1,200","1,190","1,255",69.57,71.87,74.81,73.87,78.05,14.6,14.56,17.7,17.8,-,39,38.56,42.45,43.24,-,35.11,20.87,71.75,40.08,55.54
Ocean,Harvey Cedars,9,2,424,405,415,410,418,123.26,118.77,122.06,119.88,122.94,21.51,19.7,21.98,21.74,-,37.59,36.7,39.37,38.16,-,50.24,31.11,72.77,50.24,62.68
Ocean,Beachwood,9,3,"6,831","6,755","7,131","7,195","7,352",60.7,60.24,63.69,63.97,65.24,19.01,18.66,21.36,21.88,-,24.78,24.46,26.69,27.28,-,34.02,16.15,69.61,37.87,52.76
Ocean,Brick,10,3,"50,417","49,627","52,377","52,251","53,198",66.42,66.16,69.78,69.19,70.31,19.85,19.61,21.98,22.3,-,25.6,25.28,28.68,29.66,-,35.51,23.86,72.49,42.72,58.33
Gloucester,Mantua,5,2,"10,735","10,855","11,313","11,298","11,697",70.86,72.11,74.93,75.19,78.51,32.36,32.07,34.33,35.61,-,19.58,19.02,20.75,21.69,-,37.57,26.67,72.16,39.64,58.01
Essex,Orange,34,10,"15,934","16,113","17,653","16,206","16,746",51.51,52.72,57.72,52.59,54.62,56.77,55.43,-,62.06,-,1.77,1.73,-,2.2,-,28.27,11.35,56.69,32.22,48.31
Middlesex,Dunellen,22,12,"3,898","3,917","4,284","4,065","4,279",52.55,52.71,58.1,54.88,58.84,27.42,27.08,31.93,33.36,-,18.24,17.65,19.17,20.19,-,31.32,18.15,67.32,39.75,55.27
Middlesex,Cranbury,14,12,"2,863","2,874","3,057","2,923","3,038",72.83,72.61,77.65,74.11,75.72,30.84,30.41,32.58,33.85,-,24.17,23.79,24.75,24.91,-,43.77,29.85,70.59,48.03,65.21
Mercer,West Windsor,15,12,"17,980","17,743","19,454","19,262","20,168",63.17,62.51,68.97,67.61,71.91,33.7,33.02,38.15,38.97,-,16.5,15.98,15.91,15.52,-,36.45,25.61,68.52,44.09,56.27
Gloucester,Deptford,5,1,"20,367","20,585","21,561","21,689","22,405",66.81,67.34,70.43,70.92,73.63,40.12,39.78,42.1,42.78,-,13.85,13.9,15.74,16.47,-,34.92,20.91,67.37,35.12,50.38
Essex,West Orange,27,"10, 11","31,567","31,903","35,003","33,582","34,817",67.17,67.32,74.08,69.33,72.96,45.94,45.46,-,51.48,-,10.07,9.8,-,10.74,-,40.81,16.6,65.33,37.81,57.66
Mercer,Robbinsville,14,4,"39,060","37,410","10,025","10,184","10,676",276.79,263.9,70.19,69.01,73.21,25.36,24.97,28.65,29.46,-,23.15,22.61,24.05,23.92,-,29.16,14.62,74.85,44.6,57.74
Essex,West Caldwell,26,11,"7,949","8,011","8,756","8,565","8,834",72.07,72.43,80.12,77.72,81.28,27.31,27.1,-,29.48,-,28.07,27.51,-,28.92,-,39.34,15.29,71.06,41.26,63.93
Essex,South Orange,27,10,"12,330","12,497","13,621","12,502","13,084",75.36,76.29,83.47,73.54,78.15,55.42,54.39,-,64.04,-,7.49,7.29,-,7.63,-,37.44,22.17,64,46.31,63.02
Mercer,Pennington,15,12,"2,100","2,051","2,207","2,166","2,253",81.27,78.95,85.94,83.66,89.02,42.44,41.5,45.68,46.89,-,20.92,20.78,20.03,19.72,-,45.33,23.35,71.55,48.61,63.52
Warren,Pohatcong,23,7,"2,187","2,224","2,384","2,274","2,349",67.11,68.6,73.76,70.38,73.48,24.36,24.11,25.53,25.42,-,26.56,26.27,31.91,32.01,-,34.57,25.4,67.03,38.39,54.36
Warren,Washington,23,5,"4,131","4,230","4,582","4,334","4,520",63.89,65.1,70.58,66.43,70.06,17.37,17.34,25.48,26,-,27.24,27,32.46,31.4,-,28.78,9.93,54.52,35.72,48.69
Warren,White,24,5,"3,447","3,450","3,691","3,562","3,613",72.28,72.74,77.87,75.04,77.09,15.36,15.53,16.86,17.53,-,47.05,46.31,52.3,51.47,-,41.14,18.03,71.17,44.55,60.25
Morris,Chatham,21,11,"6,178","6,085","6,466","6,491","6,730",68.48,67.66,72.03,72.7,76.78,22.27,21.51,25.55,26.84,-,30.87,30.99,31.29,31.18,-,37.96,17.01,76,45.48,67.44
Gloucester,Woodbury,5,1,"6,441","6,502","6,678","6,536","6,692",64.31,64.89,67.03,65.89,67.93,36.5,35.87,40.44,42.95,-,17.31,17.03,17.57,17.67,-,41,25.35,65.26,38.36,53.48
Morris,Chatham Twp,27,11,"7,890","7,775","8,282","8,163","8,436",74.33,73.45,79.13,78.23,82.03,19.47,18.79,22.29,23.78,-,41.19,42.01,41.55,41.25,-,41.12,26.89,74.49,47.05,66.65
Hudson,West New York,32,8,"20,383","20,267","22,280","21,798","22,710",38.75,37.98,41.77,40.2,42.86,53.51,51.54,54.9,57.78,-,10.95,10.62,11.1,11.52,-,29.48,11.95,63.86,27.75,47.22
Morris,Chester Twp,25,7,"5,795","5,740","6,167","6,194","6,417",72.94,72.08,77.86,78.26,82.51,14.77,14.7,17.48,19.13,-,44.18,43.05,45.44,45.4,-,38.52,14.43,72.53,41.98,61.88
Morris,Denville,25,11,"12,308","12,200","12,991","13,017","13,495",73.14,72.54,77.63,76.84,80.96,18.7,18.82,22.73,23.25,-,41.44,41.22,41.3,41.54,-,37.91,14.03,75.34,44.95,62.75
Hunterdon,Milford,23,7,851,838,897,883,912,70.27,69.6,75.44,74.26,77.29,25.85,24.94,29.45,29.56,-,33.84,34.02,35.45,35.9,-,43.95,25.18,75.36,45.98,63.82
Morris,East Hanover,27,11,"8,277","8,334","8,703","8,746","8,995",73.32,73.96,77.51,77.85,81.37,23.66,23.17,23.85,23.95,-,33.32,33.05,37.11,37.45,-,43.37,44.71,76.24,41.38,62.17
Ocean,Point Pleasant,30,"3, 4","13,177","13,009","13,847","13,847","14,126",70.6,70.23,74.67,74.24,75.6,17.48,17.3,20,20.49,-,30.38,30.13,32.52,33.04,-,41.27,25.05,75.34,44.8,62.47
Cumberland,Downe,1,2,"1,075","1,040","1,066","1,006","1,023",69.27,68.47,69.86,66.01,68.15,20.65,21.25,20.36,20.97,-,42.88,42.69,45.31,44.93,-,41.02,30.48,67.82,42.15,57.58
Morris,Hanover,27,11,"10,062","10,034","10,798","10,867","11,183",68.64,69.64,73.53,74.12,77.51,17.11,17.06,19.96,20.81,-,43.83,43.09,43.58,44.3,-,36.09,25.54,75.15,43.08,62.72
Ocean,Plumsted,12,4,"5,275","5,199","5,568","5,569","5,680",61.45,61.07,65.28,65.19,66.45,15.15,14.84,16.72,17.35,-,30.28,29.82,33.11,33.42,-,36.83,21.98,73.13,44.59,57.2
Essex,Essex Fells,27,11,"1,741","1,747","1,910","1,851","1,908",83.1,80.92,89.88,86.62,91.51,19.01,18.37,-,21.39,-,51.58,51.46,-,49.27,-,36.01,14.02,68.95,37.12,61.48
Morris,Harding,27,11,"3,252","3,215","3,433","3,461","3,568",84.12,82.31,88.75,89.36,93.31,14.15,14,16.28,17.42,-,49.17,49.14,48.53,48.63,-,42.68,23.42,72.24,44.52,65.25
Gloucester,Elk,3,2,"3,127","3,108","3,177","3,182","3,295",73.85,74.78,76.92,76.22,78.96,34.22,33.19,34.88,35.04,-,21.04,20.99,23.11,24.83,-,45.25,32.43,68.81,42.93,56.87
Ocean,Point Pleasant Beach,10,4,"3,483","3,465","3,669","3,627","3,700",75.06,76.12,80.74,79.82,81.46,17.61,17.36,19.73,20.89,-,39.08,38.67,39.82,40.16,-,42.66,27.73,71.08,47.59,62.22
Gloucester,Pitman,4,2,"6,263","6,346","6,507","6,509","6,705",70.41,71.32,73.33,73.58,76.37,28.95,28.86,31.88,32.58,-,22.56,22.33,23.67,24.07,-,44.96,41.25,73.18,48.47,61.52
Camden,Audubon Park,5,1,834,763,773,771,784,82.66,75.47,76.46,76.19,78.09,61.52,57.98,59.33,58.58,-,6.92,7.15,9.83,11.53,-,39.69,21.89,71.41,37.22,60.71
Camden,Lawnside,5,1,"2,432","2,223","2,277","2,273","2,328",83.6,76.16,77.98,77.84,80.44,58.6,63.91,67.77,70.07,-,4.05,3.31,3.24,3.27,-,42.23,26.5,67.63,42.59,59.45
Cape May,Cape May,1,2,"1,922","1,904","2,037","1,952","1,981",54.37,54.18,58.2,56.09,57.45,22.06,22.09,26.53,27.56,-,41.04,39.69,41.46,40.19,-,58.17,47.43,73.54,47.39,65.47
Hudson,Weehawken,33,8,"7,620","7,577","8,773","8,593","9,102",54.94,53.97,57.95,56.01,61.24,48.25,45.83,49.93,51.13,-,11.91,11.77,12.1,12.2,-,31.76,13.99,68.65,35.61,56.3
Middlesex,Jamesburg,14,12,"3,023","3,060","3,234","3,040","3,144",50.21,50.75,53.54,50.1,52.83,33.48,33.04,33.53,35.25,-,14.75,14.49,16.72,17.64,-,31.66,27.91,63.08,36.15,50.1
Hudson,Union City,33,8,"28,258","27,414","30,228","29,912","30,982",41.15,39.64,43.62,42.5,45.22,68.94,67.27,68.54,71.62,-,5.56,5.51,6.14,6.42,-,36.89,20.99,64.42,42.49,53.35
Middlesex,Helmetta,18,12,"1,384","1,405","1,511","1,547","1,623",62.4,62.98,68.28,69.59,74.38,27.1,26.78,28.77,29.68,-,19.08,18.59,21,21.94,-,48.7,47.26,72.07,37.82,52.5
Ocean,Lavallette,10,3,"1,649","1,651","1,652","1,610","1,665",89.96,91.37,90.17,87.07,89.85,14.22,13.19,15.1,14.69,-,51.79,51.18,51.79,52.26,-,52.33,30.22,76.09,53.6,71.95
Hunterdon,Bloomsbury,23,7,569,549,593,608,632,66.47,64.74,70.18,71.87,75.24,23.2,22.71,25.17,26.15,-,39.02,37.91,38.01,37.99,-,40.07,18.58,74.7,43.26,61.23
Ocean,Little Egg Harbor,9,2,"13,980","13,836","14,633","14,686","15,088",68.54,67.06,70.29,69.35,70.55,18.64,18.25,20.84,20.89,-,29.42,29.21,32.64,33.71,-,37.88,27.8,71.19,41.16,56.79
Middlesex,Milltown,17,12,"5,159","5,143","5,359","5,228","5,293",73.36,72.96,75.14,73,75.25,31.17,30.89,32.27,33.22,-,15.86,15.71,18.47,19,-,45.07,38.42,73.2,48.2,61.52
Hunterdon,Alexandria,23,7,"3,630","3,585","3,815","3,811","3,902",74.19,73.86,79.74,79.31,82.01,15.07,14.86,17.01,17.42,-,43.31,42.75,44.58,45.05,-,37.82,14.2,75.31,49.44,64.94
Ocean,Long Beach,9,2,"2,979","2,970","3,114","2,980","3,009",97.35,98.12,102.1,97.23,98.11,18.56,18.59,20.56,21.06,-,40.03,39.87,41.66,41.28,-,47.47,29.06,72.48,52.75,66
Middlesex,Metuchen,18,6,"9,881","9,936","10,654","10,286","10,649",71.47,71.55,76.81,71.68,74.04,41.26,40.59,44.36,45.99,-,15.77,15.37,16.17,16.04,-,40.2,29.65,70.9,46.56,62.33
Ocean,Manchester,10,4,"32,574","32,314","34,336","34,314","35,125",74.79,74.21,78.85,79.07,80.9,25.33,24.71,26.62,26.69,-,30.24,29.48,33.25,33.64,-,48.71,18,73.39,45.56,60.39
Ocean,Mantoloking,10,3,299,299,321,303,305,115.89,118.18,127.89,117.9,118.68,9.52,8.58,9.78,10.03,-,70.41,69.31,68.14,68.28,-,54.85,54.18,73.52,51.49,69.51
Middlesex,Edison,18,6,"55,261","55,259","59,504","56,305","57,763",54.19,53.81,58.34,54.96,57.37,44.47,43.75,44.9,48,-,11.58,11.29,12.4,12.91,-,26.32,18.7,63.74,39.26,49.59
Ocean,Ocean Twp,9,3,"6,686","1,268","7,089","7,045","7,159",77.22,14.33,78.65,77.85,79,15.7,15.47,17.78,17.84,-,34.84,34.31,38.13,39.05,-,43.02,37.15,74.83,47.15,63.75
Ocean,Pine Beach,9,3,"1,665","1,627","1,695","1,680","1,692",76.91,75.67,78.76,77.49,77.9,22.1,22.22,24.57,24.78,-,31.13,31.06,34.27,34.19,-,44.02,25.51,75.16,49.52,65.43
Middlesex,Sayreville,19,6,"25,190","25,444","27,608","27,056","27,717",55.65,56.64,61.48,59.69,62.21,36.85,35.97,38.72,40.51,-,11.6,11.69,14.18,15.32,-,31.38,25.75,66.5,36.14,50.65
Hudson,East Newark,32,8,976,954,973,984,991,34.43,35.8,35.33,35.98,37.44,66.74,64.64,66.49,64.45,-,3.34,3.41,4.25,5.23,-,32.58,15.2,63,26.83,42.18
Gloucester,Woolwich,3,2,"7,204","7,418","7,977","8,216","8,682",61.14,60.33,64.51,65.88,67.9,26.83,26.88,29.41,30.18,-,21.72,21.98,24.02,25.16,-,35.44,19.13,71.52,39.26,56.75
Hudson,Hoboken,33,8,"35,442","34,018","38,272","37,254","38,763",66.48,63.43,70.38,67.57,72.52,39.86,38.13,40.4,43.35,-,12.38,12.35,13.77,14.8,-,26.02,25.16,67.03,43.18,54.55
Middlesex,North Brunswick,17,12,"23,583","23,759","25,910","24,850","25,781",55.51,55.61,61.05,58.28,61.61,36.65,35.99,40.44,43.05,-,10.51,10.19,11.14,11.58,-,28.26,15.3,63.57,33.4,48.73
Hudson,Guttenberg,32,8,"4,944","4,794","5,352","5,289","5,507",43.06,41.1,46.07,45.22,48.62,57.32,55.56,58.42,59.93,-,7.2,7.18,7.75,8.33,-,28.6,11.87,65.13,34.35,51.24
Middlesex,Monroe,14,12,"32,409","33,039","35,600","35,205","36,730",75.7,74.85,79.81,77.66,81.95,36.67,36.9,37.96,37.89,-,18.59,18.66,21.18,22.1,-,41.45,34.33,73.42,47.36,62.04
Middlesex,Piscataway,17,6,"34,290","34,184","36,676","34,876","36,247",58.14,58.87,63.67,60.25,63.68,35.82,35.32,39.76,43.38,-,9.1,8.96,9.69,10.26,-,27.6,15.31,61.19,33.71,49.57
Hudson,North Bergen,32,8,"30,575","31,011","33,321","33,231","34,254",48.84,49.23,52.99,52.2,55.58,61.83,58.63,61.55,62.25,-,8.17,7.81,8.55,9.02,-,36.45,20.13,66.21,34.05,50.79
Middlesex,Perth Amboy,19,6,"25,052","25,375","27,724","25,909","26,509",47.87,48.17,52.81,49.05,51.05,39.94,40.16,43.92,47.24,-,4.05,4.07,4.73,5.67,-,26.82,10.16,53.17,22.56,36.87
Hudson,Kearny,32,"8, 9","17,131","16,993","18,622","18,851","19,438",40.95,40.33,44.21,44.18,46.93,40.92,39.87,44.34,45.51,-,10.64,10.45,11.73,12.41,-,24.46,8.25,66.34,27.8,45.77
Morris,Mendham Twp,25,11,"4,677","4,663","5,002","4,982","5,122",79.51,79.4,85.33,85.24,89.17,16.29,16.06,19.31,20.41,-,44.49,43.45,44.46,43.58,-,45.82,13.96,72.77,46.01,63.57
Morris,Morris Plains,26,11,"4,123","4,061","4,336","4,383","4,583",71.92,72.18,77.53,78.53,77.52,21.39,21.57,24.45,26.12,-,39.66,38.91,38.79,38.4,-,40,15.91,76.22,46.45,68.84
Morris,Florham Park,27,11,"7,761","7,627","8,183","8,140","8,452",65.61,64.44,69.55,69.19,72.9,18.37,18.55,21.48,22.96,-,39.83,40.36,40.79,40.79,-,41.9,31.81,73.85,41.74,63.17
Morris,Long Hill,21,7,"6,237","6,179","6,592","6,560","6,792",70.95,70.38,75.39,75.31,79.35,18.25,18.09,21.22,22.29,-,38.08,37.63,37.71,37,-,37.89,22.16,75.33,49.94,65.81
Morris,Chester,25,7,"1,132","1,120","1,216","1,221","1,299",67.62,66.87,72.86,73.33,79.01,16.7,16.52,19.08,20.39,-,48.85,48.21,48.03,47.99,-,44.26,15.45,70.48,45.54,61.97
Morris,Dover,25,7,"7,247","7,154","7,881","7,892","8,206",39.57,38.99,43.18,43.29,45.69,39.08,40.42,45.27,46.57,-,14.71,14.26,14.48,14.79,-,24.66,16.93,64.85,31.61,51.18
Morris,Boonton,25,11,"5,328","5,286","5,670","5,723","5,898",63.34,62.62,67.64,68.51,71.82,20.42,20.02,25.64,27.17,-,35.96,35.55,36.26,35.59,-,37.93,32.16,73.07,43.42,61.85
Morris,Butler,26,11,"4,809","4,822","5,127","5,176","5,297",62.54,62.62,65.91,66.58,69.24,17.9,18.27,21.63,22.97,-,30.65,30.11,33.08,33.52,-,31.09,14.72,71.31,38.08,57.67
Morris,Mount Arlington,25,7,"3,854","3,817","4,213","4,289","4,524",73.96,72.02,77.23,73.09,76.98,19.38,19.6,22.07,23.25,-,40.17,39.72,40.47,40.85,-,35.68,14.23,71.87,39.82,57.18
Morris,Mountain Lakes,25,11,"3,104","3,104","3,438","3,408","3,575",72.83,72.39,79.36,78.43,83.61,22.13,22,25.51,27.2,-,31.25,30.28,31.06,31.28,-,38.37,14.34,72.95,42.52,63.27
Atlantic,Estell Manor,1,2,"1,268","1,277","1,310","1,302","1,345",73.04,73.77,76.25,75.7,78.2,19.95,18.69,20,20.22,-,33.28,32.84,35.57,35.05,-,45.74,46.59,74.5,57.6,63.79
Atlantic,Galloway,9,2,"23,433","22,222","23,868","24,681","25,442",62.35,59.59,64.94,67.5,70.74,26.46,26.5,30.58,30.7,-,23.4,23.67,25.07,25.37,-,36.4,24.55,71.47,37.95,53.3
Hunterdon,Flemington,16,7,"2,127","2,099","2,265","2,255","2,326",45.42,45.23,49.02,48.8,50.69,23.46,22.93,29.13,30.02,-,29.62,28.64,30.23,29.84,-,46.97,30.82,71.26,47.94,63.2
Atlantic,Egg Harbor Twp,2,2,"27,454","27,185","29,466","30,117","31,166",62.61,61.95,67.73,69.56,73.2,22.9,22.85,27.04,28.15,-,26.4,25.81,26.62,27.25,-,36.18,27.47,69.81,36.53,53.65
Hunterdon,Clinton Twp,23,7,"9,349","9,397","9,988","9,941","10,108",71.05,72.16,77.7,77.02,78.5,16.27,16,19.32,20.04,-,42.31,41.24,42.21,42.59,-,39.66,18.22,75.51,47.02,65.47
Hunterdon,East Amwell,15,7,"3,124","3,089","3,221","3,184","3,279",78.93,78.7,82.4,81.12,84.55,27.43,26.04,28.47,28.17,-,30.28,30.22,31.87,31.94,-,51.92,40.14,77.15,57.54,67.86
Hunterdon,Califon,23,7,776,765,797,806,827,71.39,70.83,75.19,75.47,78.24,27.84,28.1,31.86,31.64,-,31.83,32.49,34.98,36.23,-,41.88,26.14,76.54,53.23,70.5
Atlantic,Margate,2,2,"4,990","4,394","4,558","4,842","4,920",78.79,70.45,74.21,79.6,82.56,22.99,23.69,26.59,26.35,-,38.32,40.36,40.61,39.56,-,48.12,39.87,76.26,46.06,59.7
Atlantic,Hammonton,8,2,"8,824","8,619","9,125","9,150","9,241",59.76,58.96,63.25,63.68,65.61,20.9,20.76,23.16,23.7,-,29.71,29.01,30.47,31.22,-,43,38.86,72.08,49.45,58.92
Atlantic,Linwood,2,2,"5,409","5,260","5,527","5,494","5,567",76.7,75.43,80.19,80.15,82.6,20.47,20.35,23.03,23.91,-,35.35,35.37,36.46,37.34,-,44.33,38.25,73.04,46.71,61.54
Union,Scotch Plains,22,"7, 12","16,731","16,644","17,840","17,609","18,087",69.46,68.92,73.76,71.49,74.11,31.8,31.3,35.54,36.9,-,20.83,20.39,21.62,21.74,-,42.56,17.6,75.16,42.35,63.08
Union,Summit,21,7,"14,296","14,260","15,408","15,131","15,767",64.77,64.6,69.98,67.78,71.62,27.5,26.82,30.85,32.4,-,26.47,25.55,25.86,26.37,-,37.86,39.36,72.12,46.53,65.34
Warren,Belvidere,24,5,"1,772","1,799","1,889","1,797","1,834",67.74,69.01,72.6,69.04,71.2,21.16,20.7,22.81,22.59,-,37.49,37.6,47.08,45.19,-,42.16,28.96,69.51,42.24,56.87
Union,Kenilworth,21,7,"5,105","5,102","5,398","5,365","5,475",62.61,62.11,65.88,64.55,66.61,29.15,28.49,31.12,31.95,-,21.45,20.85,23.12,23.54,-,39.31,34.46,70.9,39.12,54.56
Warren,Franklin Twp,23,7,"2,160","2,165","2,320","2,234","2,295",69.41,69.93,75.06,72.3,75.34,17.25,17.43,20.69,20.1,-,39.13,38.79,44.51,44.67,-,35.79,15.8,68.32,43.73,56.99
Morris,Roxbury,25,7,"16,184","16,110","17,158","17,118","17,612",68.8,68.52,73.41,73.34,76.87,18.49,18.27,21.25,22.46,-,33.12,32.67,34.99,35.57,-,34.54,20.67,73.54,41.25,59.37
Union,New Providence,21,7,"8,372","8,318","8,998","8,823","9,206",67.4,66.71,70.53,66.3,68.26,21.45,21.24,25.21,26.24,-,31.93,31.34,31.45,31.64,-,36.02,15.45,74.46,46.82,65.76
Union,Hillside,20,10,"12,982","12,863","13,600","13,660","14,094",59.23,58.51,61.96,61.33,63.91,54.37,53.02,57.29,59.63,-,5.04,4.99,5.19,5.47,-,34.93,21.18,67.93,40.18,52.97
Union,Linden,22,10,"22,942","22,829","24,623","24,699","25,930",55.08,54.33,58,57.36,60.96,54.96,53.19,55.63,57.38,-,6.14,6.12,7.26,7.85,-,38.89,15.86,66.55,33.18,51.82
Union,Roselle,20,10,"12,563","12,487","13,208","13,091","13,702",58.29,57.62,61.08,59.57,62.56,61.82,60.14,63.12,65.06,-,3.91,3.83,4.08,4.37,-,32.29,14.05,66.97,34.75,52.05
Union,Mountainside,21,7,"4,892","4,905","5,197","5,190","5,360",71.55,71.24,75.5,74.33,77.77,23.83,23.46,25.69,26.4,-,31.2,30.34,32.94,32.7,-,40.47,30.07,75.79,50.13,67.72
Union,Rahway,22,10,"16,629","16,542","17,679","17,613","18,311",58.29,56.06,60.03,58.45,61.28,46.13,45.17,49.42,51.8,-,9.66,9.36,10.26,10.51,-,36.04,15.58,67.63,36.42,53.28
Union,Plainfield,22,12,"22,133","21,776","23,321","22,852","23,429",43.44,42.52,46.06,44.52,46.22,60.63,59.4,62.28,65.57,-,3.79,3.66,3.99,4.22,-,36.08,6.16,64.64,35.81,51.66
Union,Springfield,21,7,"11,025","11,038","11,737","11,737","12,113",64.12,63.07,67.27,66.21,69.15,31.53,31.3,35.04,36.29,-,17.11,16.78,18.47,18.85,-,40.08,23.99,72.69,41.63,60.97
Union,Roselle Park,21,10,"7,881","7,877","8,370","8,344","8,578",57.97,57.62,61.37,60.37,62.84,31.43,31.13,35.95,37.4,-,15.42,15.04,16.09,16.63,-,41.58,21.21,68.7,38.94,56.37
Union,Westfield,21,7,"21,667","21,457","22,690","22,504","23,217",70.14,70.24,75.12,73.95,77.7,29.99,29.38,32.8,33.87,-,24.08,23.63,24.31,24.45,-,37.33,23.54,73.76,53.35,64.76
Union,Union Twp,20,"7, 10","33,777","33,600","36,289","36,358","37,665",58.41,57.8,62.02,61.28,64.1,39.78,39.23,44.05,46.42,-,11.04,10.63,11.37,11.47,-,31.98,17.4,70.05,36.08,56.53
Warren,Hackettstown,23,5,"5,649","5,678","6,191","5,869","6,044",59.15,59.28,64.83,61.43,63.87,18.52,18.58,24.4,25.05,-,29.59,29.38,34.67,33.52,-,32.48,15.09,66.52,36.6,55.05
Warren,Allamuchy,24,5,"3,600","3,700","4,003","3,848","4,067",78.98,81.21,87.25,82.86,87.65,13.97,14.05,18.74,19.65,-,36.82,36.37,40.66,40.1,-,36.44,16.08,65.48,40.59,57.34
Atlantic,Weymouth,1,2,"1,849","1,833","1,951","1,954","2,020",68.2,66.34,69.98,69.29,71.78,26.39,26.2,27.93,28.02,-,33.15,33.01,34.34,35.35,-,52.3,41.3,75.76,47.54,62.72
Bergen,Alpine,37,5,"1,362","1,398","1,480","1,416","1,409",71.91,72.93,79.19,74.92,75.75,24.24,23.77,25.16,27.02,-,25.79,25.27,26.15,26.81,-,38.47,16.67,62.23,30.79,53.73
Bergen,Bergenfield,38,5,"14,408","14,961","16,298","15,631","15,973",52.57,54.17,58.95,55.97,58.13,35.63,34.96,40.54,41.23,-,14.24,13.83,14.85,14.98,-,38.81,28.3,71.5,37.69,60.13
Bergen,Carlstadt,36,9,"3,483","3,602","3,860","3,702","3,733",55.75,57.37,61.77,58.63,60.3,26.57,26.01,29.32,30.55,-,20.55,20.21,21.86,21.9,-,42.84,42.56,75.75,42.27,63.86
Atlantic,Mullica,2,2,"4,189","3,712","3,923","4,370","4,416",68.06,60.87,64.94,72.57,74.54,22.15,22.61,25.62,24.39,-,32.25,33.96,34.54,33.14,-,42.83,34.97,75.78,41.4,54.87
Atlantic,Pleasantville,2,2,"10,208","10,177","10,805","10,803","11,287",49.88,49.03,52.73,52.11,55.39,46.88,44.77,48.56,50.18,-,4.97,4.68,5.12,5.64,-,28.89,24.2,56.74,27.41,41.61
Atlantic,Port Republic,9,2,893,894,929,915,922,79.66,81.27,85.62,84.72,87.15,19.48,19.17,20.67,21.55,-,44.68,44.51,46.93,47.92,-,48.49,31.1,75.78,49.95,67.79
Atlantic,Ventnor,2,2,"6,633","6,447","6,815","6,764","6,937",62.59,61.48,66.06,66.06,69.1,25.48,25.11,29.16,30.43,-,30.5,30.1,30.49,30.78,-,37.03,31.12,66.19,38.87,53.6
Morris,Pequannock,40,11,"11,323","11,202","11,879","11,920","12,316",72.74,72.24,77.01,77.35,81.26,19.62,19.45,21.8,22.5,-,36.61,36.1,37.94,37.98,-,38.51,16.48,76.84,46.01,64.07
Bergen,Closter,39,5,"4,901","5,068","5,557","5,228","5,337",57.04,58.51,63.84,59.64,62.19,25.9,25.42,29.96,31.05,-,20.02,19.2,21,21.19,-,45.95,30.05,71.12,39.77,61.4
Bergen,Cresskill,37,9,"4,899","5,076","5,467","5,264","5,355",55.91,57.6,62.29,58.91,61.03,25.22,24.44,28.37,28.81,-,22.64,22.59,23.71,23.69,-,40.7,21.71,72.31,36.99,58.79
Warren,Mansfield,23,5,"4,774","4,800","5,200","4,988","5,152",63.36,63.98,69.59,66.83,69.77,15.35,15.17,19.77,20.49,-,35.94,35.59,41.9,41.38,-,34.56,14.04,64.35,36.49,51.65
Warren,Oxford,24,5,"1,553","1,563","1,653","1,584","1,625",62.95,63.56,67.3,64.55,66.79,19.32,19.01,21.3,21.15,-,35.32,34.89,41.73,41.35,-,39.41,1.6,71.08,40.09,54.77
Warren,Knowlton,24,5,"2,077","2,110","2,254","2,170","2,222",69.33,70.71,76.05,73.01,75.45,18.62,18.51,20.05,19.35,-,34.27,34.01,43.9,44.93,-,34.81,13.27,62.82,37.56,54.68
Warren,Lopatcong,23,7,"5,659","5,861","6,247","5,966","6,312",70.09,71.09,75.54,71.47,75.85,25.27,24.96,26.82,27.27,-,29.89,29.69,37.02,36.44,-,40.61,26.84,65.65,38.22,54.21
Atlantic,Buena,2,2,"2,859","2,669","2,827","2,898","3,005",62.02,58.87,63.44,65.43,69.13,21.41,21.3,24.05,25.27,-,26.72,27.41,28.65,28.24,-,33.12,25.07,64.41,32.92,47.19
Atlantic,Buena Vista,2,2,"5,001","4,883","5,152","5,078","5,260",65.92,65.05,69.05,68.42,72.06,37.13,36.61,36.01,36.04,-,20.64,20.37,22.83,23.69,-,35.81,24.84,67.78,38.79,52.81
Atlantic,Absecon,2,2,"5,863","5,810","6,066","6,110","6,458",70,69.86,73.13,73.77,76.5,24.12,23.77,27.35,28.78,-,28.57,27.85,28.82,29.37,-,44.94,34.73,71.6,43.5,57.66
Atlantic,Atlantic City,2,2,"21,298","19,516","20,902","22,582","22,933",54.04,49.71,53.96,58.76,60.66,54.82,54.91,54.87,55.92,-,7.5,8.29,8.98,9.16,-,29.79,27.78,56.44,33.87,38.27
