,,,,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating
Sussex,Wantage,24,5,"1,195,626,385","1,188,264,413","1,167,238,533","1,188,077,781","1,273,420,618","107,193","107,302","106,132","108,659","117,182","35,259.96","35,413.59",-,-,-,"10,131","10,043",-,-,-,74.88,74.87,97.27,75.06,74.9,Aa3,Aa3,-,-,-
Burlington,Pemberton Twp,8,3,"1,457,960,908","1,453,885,421","1,447,828,806","1,481,201,231","1,498,033,331","52,403","52,353","52,520","54,254","55,337","23,051.42","24,072.12",-,-,-,"20,509","20,428",-,-,-,87.75,87.73,163.88,87.74,87.69,A1,A1,A1,A1,-
Bergen,Teterboro,36,9,"391,832,323","401,110,212","408,517,451","411,946,198","416,571,336","5,518,765","5,813,191","5,920,543","5,970,235","6,126,049","33,552.66","40,324.56",-,-,-,53,34,-,-,-,0.28,0.27,94.81,0.29,0.29,A2,A2,-,-,-
Sussex,Hopatcong,24,11,"1,601,317,129","1,638,876,930","1,574,901,689","1,568,894,430","1,622,257,520","109,052","112,948","109,490","109,728","114,219","37,011.60","37,150.52",-,-,-,"13,500","13,383",-,-,-,93.27,93,112.61,93.11,93.1,Aa3,Aa2,-,-,-
Burlington,Chesterfield,12,3,"721,711,476","726,572,552","759,518,805","793,850,669","815,900,028","93,814","95,955","101,404","104,633","108,787","47,145.56","49,099.86",-,-,-,"5,071","5,100",-,-,-,85.75,86.01,101.62,86.93,87.12,-,-,-,-,-
Sussex,Newton,24,5,"625,431,184","618,956,064","621,686,237","629,685,305","669,390,561","79,390","77,573","78,615","80,113","84,327","29,189.50","34,894.55",-,-,-,"6,018","6,137",-,-,-,61.46,61.5,103.02,61.16,61.31,A1,A1,-,-,-
Warren,Phillipsburg,23,7,"806,381,046","764,810,657","732,192,224","732,098,799","731,653,198","55,345","52,691","50,653","50,633","51,154","21,935.59","22,252.60",-,-,-,"11,797","12,157",-,-,-,69.68,69.88,103.02,69.87,70.04,-,-,-,-,-
Warren,Hardwick,24,5,"185,819,095","186,105,422","184,901,835","182,315,665","191,362,883","111,603","111,641","111,253","110,965","117,329","46,448.10","50,017.82",-,-,-,"1,456","1,431",-,-,-,71.08,71.37,117.11,70.65,70.2,-,-,-,-,-
Ocean,Lakehurst,10,4,"164,941,739","3,831,083,359","158,666,014","158,333,018","3,844,789,809","60,797","1,422,080","58,940","58,707","1,423,996","22,568.20","23,735.83",-,-,-,"2,114","2,133",-,-,-,80.29,80.1,112.7,78.73,79,-,-,-,-,-
Warren,Harmony,23,7,"508,112,022","534,589,517","533,825,320","543,688,102","526,691,866","198,094","209,151","211,667","215,749","211,863","34,226.91","35,173.31",-,-,-,"2,531","2,454",-,-,-,40.83,41.19,111.88,40.86,40.88,-,-,-,-,-
Ocean,Lacey,9,3,"3,787,626,043","6,691,228,327","3,742,000,493","3,759,305,273","7,649,810,479","134,261","235,193","130,981","130,445","262,718","33,058.84","34,373.66",-,-,-,"25,388","25,412",-,-,-,84.02,83.61,98.52,83.81,83.93,Aa3,Aa3,Aa3,Aa3,-
Warren,Frelinghuysen,24,5,"291,445,733","276,123,078","276,558,559","276,186,744","286,342,878","133,202","126,199","125,766","125,539","131,471","46,843.96","48,022.62",-,-,-,"1,880","1,824",-,-,-,65.11,65.05,95.17,66.01,66.45,-,-,-,-,-
Union,Clark,22,7,"2,365,767,864","2,478,042,490","2,617,164,886","2,677,138,335","2,728,514,358","153,025","159,514","165,277","166,189","171,142","45,033.11","47,423.93",-,-,-,"14,909","15,234",-,-,-,80.53,79.76,348.31,78.55,78.72,Aa2,Aa2,Aa2,Aa2,-
Ocean,Jackson,12,4,"6,543,417,283","349,888,035","6,948,799,597","7,432,945,960","355,243,188","115,917","6,202","122,483","130,236","6,209","35,312.75","36,393.73",-,-,-,"52,887","53,232",-,-,-,86.75,86.61,103.92,86.82,86.66,Aa3,Aa3,Aa2,Aa2,-
Warren,Greenwich,23,7,"690,998,265","682,094,053","676,577,002","725,571,235","708,416,977","124,013","122,767","122,391","131,159","129,415","42,351.21","44,062.58",-,-,-,"5,579","5,526",-,-,-,80.26,80.29,113.61,79.95,79.99,-,-,-,-,-
Union,Fanwood,22,12,"1,090,777,078","1,143,774,259","1,177,692,515","1,225,611,856","1,247,987,849","142,455","149,493","152,947","156,969","161,992","52,031.70","56,158.05",-,-,-,"7,421","7,470",-,-,-,91.9,91.92,513.87,92.17,92.17,Aa2,Aa2,Aa2,Aa2,-
Ocean,Island Heights,10,3,"343,144,624","1,278,039,999","328,307,771","345,395,292","1,258,083,136","202,684","766,211","199,337","207,196","751,543","43,300.70","43,116.78",-,-,-,"1,407",873,-,-,-,89.5,89.2,94.98,89.68,90.2,A1,A1,A1,A1,-
Warren,Alpha,23,7,"198,045,954","210,928,823","211,659,061","201,725,933","199,402,538","85,660","91,589","92,186","87,821","87,727","28,248.17","29,759.43",-,-,-,"2,097","2,106",-,-,-,68.61,68.66,100.02,70.46,70.8,A1,A1,A1,A1,-
Warren,Blairstown,24,5,"719,917,051","720,874,730","708,741,880","697,086,971","725,627,897","123,400","123,883","122,345","120,022","126,681","41,643.92","42,768.57",-,-,-,"5,047","5,008",-,-,-,77.49,77.68,99.2,77.96,77.83,-,-,-,-,-
Ocean,Bay Head,10,4,"1,597,085,582","1,544,013,697","1,507,310,589","1,598,506,993","1,027,780,968","1,595,490","1,588,491","1,541,217","1,629,467","1,051,976","76,507.24","94,872.11",-,-,-,838,843,-,-,-,92.78,92.23,95.83,92.99,93.71,-,-,-,-,-
Gloucester,Harrison Twp,5,2,"1,420,709,930","1,462,892,812","1,501,771,076","1,530,541,174","1,564,223,816","110,837","112,669","115,681","117,598","119,406","49,273.43","52,226.20",-,-,-,"12,911","13,086",-,-,-,88.38,88.47,106.83,88.64,89.13,Aa3,Aa3,-,-,-
Mercer,Hopewell Twp,15,12,"3,992,590,648","4,053,895,434","4,168,556,766","4,295,993,237","4,223,271,452","216,989","217,881","225,048","235,204","234,913","85,072.26","87,078",-,-,-,"16,596","16,385",-,-,-,68.79,69.19,105.31,69.04,69.1,Aa1,Aa1,-,-,-
Gloucester,Greenwich,3,1,"821,813,310","791,822,004","783,660,910","783,077,853","798,499,861","169,726","163,027","161,546","161,593","165,939","31,405.87","33,248.09",-,-,-,"4,294","4,363",-,-,-,40.95,43.95,102.97,42.81,43.97,-,-,-,-,-
Ocean,Beach Haven,9,2,"1,985,292,843","2,025,962,994","2,040,969,962","2,087,783,288","1,603,488,631","1,682,452","1,728,637","1,739,957","1,766,314","1,346,338","53,949.68","47,844.81",-,-,-,"1,003","1,022",-,-,-,88.51,88.8,121.17,89.5,89.6,-,-,-,-,-
Mercer,Hopewell,15,12,"319,164,472","321,685,072","318,258,168","336,225,035","337,465,791","166,318","166,763","165,243","172,600","176,130","57,751.05","58,704.68",-,-,-,"1,929","1,929",-,-,-,82.7,84.79,100.17,84.53,85.02,A1,-,-,-,-
Mercer,Hamilton,14,4,"8,677,547,799","8,499,589,488","8,653,838,044","8,768,832,490","8,928,283,025","97,352","95,469","97,894","98,440","101,977","33,826.76","34,758.71",-,-,-,"83,666","84,422",-,-,-,75.07,75.24,102.13,73.39,73.42,Aa3,-,-,-,-
Gloucester,Franklin Twp,3,2,"1,293,652,619","1,293,215,305","1,299,086,870","1,307,257,764","1,320,476,404","77,455","77,582","78,409","79,233","80,566","32,099.04","33,651.63",-,-,-,"14,901","14,968",-,-,-,84.58,84.85,105.42,84.88,85.19,-,-,-,-,-
Mercer,East Windsor,14,12,"2,729,462,144","2,704,267,512","2,776,431,043","2,798,521,748","2,950,704,247","99,123","97,970","101,219","100,939","107,525","37,564.15","39,316.79",-,-,-,"26,711","25,758",-,-,-,73.03,73.04,101.31,72.98,71.77,-,-,-,-,-
Gloucester,East Greenwich,3,"1, 2","1,075,987,046","1,109,930,177","1,135,215,693","1,166,339,448","1,186,646,818","104,546","106,930","109,197","110,869","112,128","43,967.22","45,115.81",-,-,-,"10,343","10,409",-,-,-,89.15,89.75,107.04,90.27,90.41,Aa3,Aa3,Aa3,Aa3,-
Ocean,Eagleswood,9,2,"246,995,272","14,460,430,346","231,759,544","220,367,919","15,838,934,146","152,749","8,998,401","144,488","136,790","9,850,083","33,185.68","35,249.49",-,-,-,"1,499","1,493",-,-,-,74.43,74.81,97.39,75.05,75.82,-,-,-,-,-
Ocean,Harvey Cedars,9,2,"1,250,057,820","241,946,058","1,251,583,838","1,242,244,356","230,818,343","3,633,889","709,519","3,681,129","3,632,293","678,877","96,631.15","60,823.64",-,-,-,349,340,-,-,-,97.18,96.42,101.06,96.07,96.31,-,-,-,-,-
Ocean,Beachwood,9,3,"873,101,736","872,536,212","869,631,232","881,956,514","2,218,069,575","77,588","77,808","77,673","78,410","196,812","28,198.52","28,686.19",-,-,-,"10,304","10,375",-,-,-,95.04,95.21,108.2,94.23,94.27,-,-,-,-,-
Ocean,Brick,10,3,"10,435,641,331","10,535,860,916","10,686,944,453","10,689,515,762","5,585,512,630","137,472","140,456","142,377","141,553","73,817","34,630.07","35,456.27",-,-,-,"67,956","68,199",-,-,-,87.08,87.1,104.12,87.32,87.13,Aa2,Aa2,Aa2,Aa2,-
Gloucester,Mantua,5,2,"1,378,285,389","1,355,648,353","1,384,923,074","1,411,056,061","1,429,363,139","90,976","90,052","91,723","93,908","95,937","37,228.22","39,080.44",-,-,-,"14,290","14,447",-,-,-,82.44,83.1,104.58,83.34,83.5,Aa3,Aa3,Aa3,Aa3,-
Essex,Orange,34,10,"1,428,222,499","1,437,706,711","1,461,213,094","1,560,394,477","1,509,033,524","46,170","47,041","47,779","50,641","49,222","18,091.97","18,442.67",-,-,-,"24,732","25,276",-,-,-,55.17,55.76,113.75,55.44,55.45,-,-,-,-,-
Middlesex,Dunellen,22,12,"560,449,870","586,571,338","599,879,493","589,624,004","614,396,884","75,563","78,936","81,351","79,604","84,488","31,385.43","29,656.93",-,-,-,"6,676","6,886",-,-,-,86.4,86.52,415.63,86.69,86.69,-,-,-,-,-
Middlesex,Cranbury,14,12,"1,449,901,259","1,543,166,866","1,481,486,384","1,613,904,267","1,653,923,443","368,838","389,886","376,298","409,205","412,244","90,455.08","92,116.36",-,-,-,"3,781","3,793",-,-,-,45.92,45.68,95.38,44.29,43.99,Aa2,Aa2,Aa2,Aa2,-
Mercer,West Windsor,15,12,"6,422,559,606","6,469,687,212","6,622,864,183","6,700,059,211","6,549,367,687","225,630","227,942","234,795","235,164","233,531","81,534.54","83,510.39",-,-,-,"28,463","28,499",-,-,-,70.68,70.51,110.68,70.41,70.19,Aa1,Aa1,Aa1,-,-
Gloucester,Deptford,5,1,"2,787,436,485","2,701,966,159","2,788,623,621","2,894,852,229","2,920,356,446","91,442","88,389","91,093","94,659","95,970","30,369.35","31,611.32",-,-,-,"27,591","27,806",-,-,-,64.53,65,99.69,66.04,66.01,Aa3,Aa3,Aa3,Aa2,-
Essex,West Orange,27,"10, 11","5,762,055,182","5,964,549,769","6,052,967,793","6,225,475,780","6,373,773,006","122,610","125,861","128,108","128,533","133,566","51,329.16","52,648.19",-,-,-,"43,391","43,849",-,-,-,80.17,80.48,108.11,80.79,80.82,-,-,-,-,-
Mercer,Robbinsville,14,4,"2,384,155,825","2,489,413,966","2,533,828,706","2,576,337,751","2,733,274,744","168,945","175,608","177,414","174,584","187,429","58,099.50","59,431.06",-,-,-,"13,976","14,014",-,-,-,74.53,74.31,103.91,74.45,74.18,Aa2,Aa2,Aa2,Aa2,-
Essex,West Caldwell,26,11,"2,162,100,279","2,286,064,845","2,392,221,982","2,485,434,603","2,521,026,903","196,020","206,697","218,908","225,518","231,968","54,517.94","56,148.90",-,-,-,"10,828","10,909",-,-,-,68.42,68.57,106.61,68.96,68.94,Aa2,Aa2,Aa2,-,-
Essex,South Orange,27,10,"2,564,553,542","2,622,005,254","2,704,523,224","2,933,285,558","3,018,673,996","156,738","160,074","165,728","172,536","180,295","81,246.69","82,607.97",-,-,-,"13,878","14,072",-,-,-,89.75,89.72,121.05,89.7,89.77,Aa2,Aa2,Aa2,Aa3,-
Mercer,Pennington,15,12,"502,550,997","510,050,187","500,258,087","499,881,916","511,766,622","194,486","196,324","194,805","193,079","202,199","74,030.07","75,335.89",-,-,-,"2,448","2,497",-,-,-,86.76,86.88,100.79,86.99,86.91,Aa2,Aa2,Aa2,Aa2,-
Warren,Pohatcong,23,7,"365,920,250","349,923,834","354,321,900","361,475,679","362,084,315","112,280","107,935","109,629","111,877","113,258","32,564.26","34,130.38",-,-,-,"2,856","2,809",-,-,-,59.65,59.4,100.68,60.23,60.51,-,-,-,-,-
Warren,Washington,23,5,"441,683,294","441,852,467","454,905,105","462,927,553","453,111,127","68,309","67,998","70,072","70,958","70,228","28,638.39","29,471.54",-,-,-,"5,911","5,953",-,-,-,77.1,78.55,123.59,78.79,79.01,A2,A2,A2,Aa2,-
Warren,White,24,5,"520,028,355","569,971,630","557,289,642","546,061,421","561,623,275","109,043","120,171","117,572","115,033","119,826","34,340.78","36,469.36",-,-,-,"3,976","3,903",-,-,-,71.66,71.37,99.3,71.5,71.47,A1,A1,A1,A1,-
Morris,Chatham,21,11,"2,309,770,540","2,386,498,678","2,449,118,932","2,508,158,863","2,689,928,309","256,015","265,373","272,822","280,932","306,894","94,150.10","94,594.74",-,-,-,"9,594","9,616",-,-,-,86.68,86.67,118.09,86.82,87.1,Aaa,Aaa,Aaa,Aaa,-
Gloucester,Woodbury,5,1,"617,862,404","616,209,140","591,217,564","579,983,269","584,129,012","61,688","61,498","59,347","58,472","59,290","27,318.54","28,607.61",-,-,-,"7,909","8,026",-,-,-,69.03,69.33,100.79,69.91,70.24,A1,A1,A1,A1,-
Morris,Chatham Twp,27,11,"3,318,300,831","3,398,281,991","3,465,395,360","3,525,587,916","3,615,793,209","312,605","321,047","331,110","337,862","351,594","139,448.57","139,868.51",-,-,-,"10,476","10,383",-,-,-,92.99,93.33,111.63,93.28,93.74,Aa1,Aa1,Aaa,Aaa,-
Hudson,West New York,32,8,"2,434,363,285","2,468,399,203","2,669,311,741","2,790,306,470","3,106,536,355","46,283","46,254","50,041","51,456","58,625","26,159.19","26,949.45",-,-,-,"40,991","41,211",-,-,-,49.41,49.47,295.95,49.21,51.39,A1,A1,A1,A1,-
Morris,Chester Twp,25,7,"1,872,128,624","1,894,211,248","1,890,867,453","1,907,103,666","1,915,217,009","235,636","237,877","238,716","240,948","246,267","114,188.64","117,012.43",-,-,-,"7,806","7,278",-,-,-,91.44,91.56,103.77,91.63,91.91,-,Aa1,Aa1,-,-
Morris,Denville,25,11,"3,235,990,965","3,357,935,206","3,279,370,988","3,301,885,785","3,301,089,990","192,287","199,663","195,959","194,905","198,038","59,742.58","62,055.45",-,-,-,"16,222","16,156",-,-,-,82.69,82.84,106.97,78.88,79.35,Aa2,Aa2,Aa2,Aa1,-
Hunterdon,Milford,23,7,"109,911,330","117,430,089","116,465,565","119,031,431","123,072,416","90,761","97,533","97,953","100,111","104,299","36,413.82","36,710.97",-,-,-,"1,007","1,001",-,-,-,81.39,81.81,100.89,81.81,81.95,-,-,-,-,-
Morris,East Hanover,27,11,"3,584,868,080","3,375,847,794","3,272,284,952","3,315,434,416","3,368,787,479","317,554","299,569","291,440","295,125","304,757","52,932.45","55,599.67",-,-,-,"11,169","11,188",-,-,-,56.25,56.33,128.87,56.69,56.87,Aa2,Aa2,Aa2,Aa2,-
Ocean,Point Pleasant,30,"3, 4","3,285,250,823","859,423,102","3,295,135,214","3,380,144,776","884,261,173","176,011","46,398","177,683","181,231","47,327","41,800.63","42,324.11",-,-,-,"17,776","17,862",-,-,-,90.64,90.61,102.04,91.04,91.16,A1,Aa3,Aa3,Aa3,-
Cumberland,Downe,1,2,"158,427,113","160,529,331","149,931,722","157,042,623","142,334,617","102,079","105,681","98,251","103,046","94,827","23,373.18","24,347.55",-,-,-,"1,100",986,-,-,-,85.73,85.84,85.95,85.55,85.8,-,-,-,-,-
Morris,Hanover,27,11,"3,841,012,208","4,060,359,104","4,152,265,959","4,242,471,702","4,171,182,049","262,024","281,793","282,736","289,371","289,103","54,635.96","55,755.73",-,-,-,"14,080","14,203",-,-,-,57.01,56.82,112.98,56.8,56.47,-,-,-,-,-
Ocean,Plumsted,12,4,"831,979,687","267,605,002","853,005,562","859,671,306","288,908,729","96,922","31,435","100,001","100,629","33,798","35,409.95","37,343.09",-,-,-,"7,791","7,742",-,-,-,85.44,85.31,108.86,85.5,85.53,-,-,-,-,-
Essex,Essex Fells,27,11,"755,852,810","764,531,223","760,012,794","815,661,680","800,086,425","360,789","354,114","357,653","381,685","383,735","168,176.10","176,612.62",-,-,-,"2,300","2,299",-,-,-,96.52,96.42,101.07,96.84,96.91,Aa3,Aa3,Aa3,Aa3,-
Morris,Harding,27,11,"2,209,383,988","2,264,434,662","2,198,765,098","2,223,924,337","2,255,616,401","571,491","579,732","568,450","574,212","589,858","198,177.38","189,295.94",-,-,-,"2,921","2,734",-,-,-,83.5,83.98,109.55,83.46,83.14,Aaa,Aaa,Aaa,Aaa,-
Gloucester,Elk,3,2,"359,289,932","364,115,917","370,358,138","377,807,164","388,167,434","84,858","87,612","89,675","90,493","93,019","31,143.99","32,650.91",-,-,-,"3,697","3,695",-,-,-,79.02,79.32,104.35,78.09,79.44,A1,A1,A1,A1,-
Ocean,Point Pleasant Beach,10,4,"2,035,085,668","3,292,501,189","2,056,358,050","2,101,439,979","3,543,595,987","438,596","723,309","452,544","462,465","780,184","48,622.47","50,447.14",-,-,-,"4,023","4,042",-,-,-,77.04,77.14,104.14,77.96,78.94,A1,A1,Aa3,-,-
Gloucester,Pitman,4,2,"603,012,138","605,842,401","599,949,204","594,510,497","604,959,879","67,792","68,087","67,608","67,207","68,902","33,262.10","34,816.77",-,-,-,"7,963","7,950",-,-,-,87,87.97,105.39,88.53,88.52,A2,A2,A1,A1,-
Camden,Audubon Park,5,1,"21,232,174","21,058,021","20,973,811","20,935,887","20,975,760","21,043","20,829","20,746","20,688","20,892","23,875.06","24,567.88",-,-,-,838,838,-,-,-,0,0,-,0,0,-,-,-,-,-
Camden,Lawnside,5,1,"228,957,748","216,844,826","227,938,793","213,486,899","214,089,007","78,707","74,287","78,061","73,112","73,977","24,170.21","24,812.16",-,-,-,"2,170","2,173",-,-,-,62.7,62.74,106.56,62.88,63.62,-,-,-,-,-
Cape May,Cape May,1,2,"2,719,645,978","2,692,233,051","2,852,405,521","2,829,229,416","2,935,563,598","769,348","766,145","814,973","812,997","851,382","43,572.40","48,430.51",-,-,-,"1,813","1,801",-,-,-,77.79,77.61,101.4,77.96,77.88,Aa3,Aa3,Aa3,Aa3,-
Hudson,Weehawken,33,8,"2,659,246,891","2,601,881,962","2,856,189,024","3,215,273,859","3,703,438,362","191,727","185,319","188,677","209,573","249,155","58,132.26","60,988.74",-,-,-,"10,992","11,790",-,-,-,62.79,60.86,231.37,59.41,59.27,Baa3,Baa3,Baa3,Baa3,-
Middlesex,Jamesburg,14,12,"443,956,540","433,439,918","441,817,596","440,824,480","449,406,350","73,735","71,893","73,149","72,647","75,518","29,884.87","31,385",-,-,-,"4,971","4,862",-,-,-,82.35,82.66,188.01,82.57,82.84,-,-,-,-,-
Hudson,Union City,33,8,"3,175,961,544","3,390,631,698","3,561,835,139","3,852,537,098","4,074,202,239","46,251","49,029","51,400","54,734","59,460","18,266.19","19,259.73",-,-,-,"56,256","56,876",-,-,-,51.55,51.58,241.6,51.68,52.4,Baa1,Baa1,Baa1,Baa1,-
Middlesex,Helmetta,18,12,"199,105,447","201,078,859","206,694,806","208,207,279","214,798,703","89,768","90,129","93,400","93,660","98,441","36,202.67","37,316.20",-,-,-,"1,953","1,952",-,-,-,95.64,95.79,111.12,95.3,96.67,-,-,-,-,-
Ocean,Lavallette,10,3,"1,998,476,791","8,251,500,724","2,154,514,890","2,117,837,608","10,738,156,516","1,090,276","4,566,409","1,176,045","1,145,396","5,795,012","51,544.13","53,994.35",-,-,-,"1,539","1,584",-,-,-,96.49,96.65,115.34,95.95,95.77,Aa3,Aa3,Aa3,-,-
Hunterdon,Bloomsbury,23,7,"99,400,383","94,063,304","95,982,445","95,111,686","98,648,413","116,122","110,924","113,589","112,425","117,439","35,281.14","37,350.32",-,-,-,810,772,-,-,-,76.75,75.51,106.97,75.73,75.35,-,-,-,-,-
Ocean,Little Egg Harbor,9,2,"2,364,981,874","2,041,932,786","2,286,645,734","2,330,113,664","2,162,184,983","115,953","98,969","109,840","110,030","101,103","28,724.57","28,914.37",-,-,-,"16,775","16,980",-,-,-,88.44,87.98,102.06,87.97,88.54,-,-,-,-,-
Middlesex,Milltown,17,12,"852,249,956","855,376,504","880,552,450","891,495,407","9,122,501,795","121,196","121,347","123,465","124,476","1,296,915","40,691.81","41,774.81",-,-,-,"6,696","6,768",-,-,-,87.11,87.28,196.81,87.53,87.74,-,-,-,-,-
Hunterdon,Alexandria,23,7,"789,663,818","772,072,905","781,066,628","777,594,190","779,386,193","161,386","159,059","163,266","161,830","163,805","56,150.47","59,161.74",-,-,-,"4,599","4,594",-,-,-,80.06,79.94,109.29,80.52,80.78,Aa2,Aa2,Aa2,Aa2,-
Ocean,Long Beach,9,2,"8,254,739,704","2,274,331,365","8,372,921,204","8,505,786,977","2,391,400,094","2,697,627","751,348","2,745,220","2,775,134","779,720","60,301.91","60,234.88",-,-,-,"2,552","2,526",-,-,-,94.4,94.73,107.62,95.2,95.02,Aa2,Aa2,Aa2,Aa1,-
Middlesex,Metuchen,18,6,"2,163,884,692","2,245,927,852","2,303,856,247","2,299,749,828","1,556,360,338","156,508","161,740","166,092","160,272","108,216","55,167.29","56,885.44",-,-,-,"13,436","13,552",-,-,-,82.44,82.39,232.23,81.79,80.87,Aa2,Aa2,Aa2,Aa2,-
Ocean,Manchester,10,4,"3,611,001,108","8,426,557,709","3,793,121,953","3,799,697,135","8,749,701,550","82,907","193,527","87,106","87,561","201,532","28,207.54","28,828.61",-,-,-,"31,454","31,255",-,-,-,76.66,77.06,116.77,78.09,78.72,A1,A1,-,-,-
Ocean,Mantoloking,10,3,"1,269,900,702","3,710,002,911","1,338,452,097","1,370,001,724","3,824,088,470","4,922,096","14,664,043","5,332,478","5,330,746","14,879,722","207,918.88","203,821.10",-,-,-,200,184,-,-,-,81.31,78.8,103.57,86.09,87.11,-,-,-,-,-
Middlesex,Edison,18,6,"14,576,442,428","15,665,351,307","15,835,820,966","16,414,706,971","17,369,327,293","142,948","152,534","155,259","160,222","172,498","41,321.57","42,784.79",-,-,-,"100,475","101,227",-,-,-,64.03,63.84,224.22,64,63.82,Aa2,Aa2,Aa2,Aa2,-
Ocean,Ocean Twp,9,3,"1,321,487,905","1,356,366,366","1,379,717,742","1,424,201,892","1,438,037,378","152,632","153,262","153,081","157,388","158,689","33,957.58","34,568.55",-,-,-,"7,556","7,683",-,-,-,90.68,91.21,106.11,92.26,92.23,Aa3,Aa3,Aa3,Aa2,-
Ocean,Pine Beach,9,3,"275,164,632","227,851,739","272,744,692","280,522,786","244,292,517","127,097","105,978","126,740","129,392","112,474","38,036.05","39,528.39",-,-,-,"2,032","2,030",-,-,-,95.62,96.03,110.61,96.11,96.11,-,-,-,-,-
Middlesex,Sayreville,19,6,"4,382,928,672","449,504,848","4,611,676,872","4,635,190,931","4,770,519,092","96,835","10,007","102,699","102,266","107,068","33,373.95","34,411.41",-,-,-,"41,801","42,631",-,-,-,75.57,75.47,201.73,75.35,75.32,Aa3,Aa3,Aa2,Aa2,-
Hudson,East Newark,32,8,"125,724,419","124,880,033","125,217,148","157,196,973","196,850,560","44,347","46,859","45,467","57,476","74,367","19,386.34","21,258.17",-,-,-,"2,257","2,187",-,-,-,60.88,61.08,297.89,56.31,55.72,-,-,-,-,-
Gloucester,Woolwich,3,2,"1,147,155,977","1,165,114,551","1,221,728,601","1,255,658,324","1,311,978,114","97,357","94,763","98,805","100,678","102,611","44,461.87","47,943.25",-,-,-,"10,513","10,696",-,-,-,85.37,86.07,108.81,85.39,85.28,-,-,-,-,-
Hudson,Hoboken,33,8,"12,431,717,099","13,257,233,526","15,128,231,568","16,427,277,421","17,341,543,272","233,188","247,175","278,200","297,968","324,414","97,018.79","101,976.51",-,-,-,"42,629","44,211",-,-,-,68.73,69.4,134.81,69.46,69.37,-,-,-,-,-
Middlesex,North Brunswick,17,12,"4,440,038,688","4,488,639,324","4,459,288,955","4,509,484,150","8,079,522,667","104,501","105,059","105,063","105,755","193,068","36,058.35","36,686.68",-,-,-,"39,650","40,207",-,-,-,62.68,62.93,181.23,62.76,62.96,Aa2,Aa2,Aa2,Aa2,-
Hudson,Guttenberg,32,8,"904,717,609","902,423,837","950,313,206","1,044,588,882","1,095,391,925","78,801","77,362","81,797","89,319","96,715","33,228.71","34,547.39",-,-,-,"9,108","9,034",-,-,-,75.46,75.57,120.32,75.83,75.64,-,-,-,-,-
Middlesex,Monroe,14,12,"7,208,628,035","7,911,812,831","8,446,039,050","8,738,217,626","3,408,551,127","168,387","179,240","189,356","192,760","76,053","47,837.62","49,504.04",-,-,-,"40,881","41,237",-,-,-,80.49,80.88,115.73,82.62,82.98,Aa2,Aa2,Aa2,-,-
Middlesex,Piscataway,17,6,"6,316,088,782","6,808,524,107","6,955,978,121","6,963,333,683","7,832,740,332","107,085","117,249","120,759","120,292","137,602","35,599.92","36,670.13",-,-,-,"49,385","49,924",-,-,-,60.33,60.66,110.6,59.75,59.88,Aa2,Aa2,Aa2,Aa2,-
Hudson,North Bergen,32,8,"4,666,622,157","5,145,155,188","5,496,766,225","6,114,481,195","6,537,336,705","74,544","81,678","87,408","96,051","106,079","25,395.47","26,105.20",-,-,-,"51,015","51,202",-,-,-,59.57,58.3,217.49,57.81,57.49,Aa3,Aa3,Aa3,Aa3,-
Middlesex,Perth Amboy,19,6,"3,124,132,985","2,988,454,368","3,207,575,769","3,119,426,356","3,357,060,702","59,703","56,726","61,098","59,054","64,648","16,394.44","17,223.30",-,-,-,"49,771","50,522",-,-,-,58.23,57.22,99.05,56.68,57.02,A3,A3,A3,A3,-
Hudson,Kearny,32,"8, 9","3,391,591,387","3,553,397,416","3,569,966,700","3,724,962,922","3,980,932,772","81,067","84,330","84,745","87,297","96,107","25,616.07","26,235.71",-,-,-,"34,442","34,720",-,-,-,64.31,64.34,338.98,64.17,64,Baa1,Baa1,Baa1,Baa2,-
Morris,Mendham Twp,25,11,"1,964,809,733","1,943,555,501","1,956,687,515","1,938,721,610","1,917,811,988","334,038","330,931","333,792","331,689","333,881","181,820.13","197,208.46",-,-,-,"5,540","4,801",-,-,-,92.33,92.24,104.38,92.08,91.73,Aaa,Aaa,Aaa,-,-
Morris,Morris Plains,26,11,"1,414,396,565","1,409,176,495","1,467,011,177","1,484,544,211","1,583,189,886","246,711","250,476","262,294","266,000","267,793","60,774.81","59,977.41",-,-,-,"5,593","5,357",-,-,-,64.87,65.14,106.45,63.6,63.55,Aa1,Aa1,Aa1,Aa1,-
